"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"45023","Chester, SC","5","CA1","1","...","Personal income (thousands of dollars)",74224,79191,85261,94422,105073,113512,121642,139932,151304,166985,187255,206539,233012,244920,268225,286859,297167,312109,328738,351949,385610,402774,415925,451686,464582,490505,518857,553642,584820,619065,650966,688204,711647,728796,734840,764544,793630,817833,813396,831357,820686,836979,870678,900083,903392,937969,982225,1000702
"45023","Chester, SC","5","CA1","2","...","Population (persons) 1/",29894,29836,30129,30182,30083,30385,30267,30250,30226,30377,30247,30336,30992,31122,30729,31107,31266,31656,31932,32053,32103,32204,32457,32438,32388,32492,32466,32759,33024,33457,33901,34159,34064,34083,33920,33633,33373,33222,33247,33454,33210,33123,32840,32659,32671,32379,32285,32181
"45023","Chester, SC","5","CA1","3","...","Per capita personal income (dollars) 2/",2483,2654,2830,3128,3493,3736,4019,4626,5006,5497,6191,6808,7518,7870,8729,9222,9504,9859,10295,10980,12012,12507,12815,13925,14344,15096,15982,16900,17709,18503,19202,20147,20891,21383,21664,22732,23781,24617,24465,24851,24712,25269,26513,27560,27651,28968,30424,31096
"45025","Chesterfield, SC","5","CA1","1","...","Personal income (thousands of dollars)",80080,91588,99810,110175,127666,135836,147433,159543,174002,201460,226773,248245,272111,286911,308518,350202,369499,400774,412949,447061,473790,509297,525092,572535,600068,638440,669036,702964,739547,775351,812672,852527,883712,902716,940058,967556,967981,1020588,1094800,1159047,1130079,1162278,1198941,1243598,1289292,1315880,1378710,1416411
"45025","Chesterfield, SC","5","CA1","2","...","Population (persons) 1/",34093,33679,34348,34622,35141,35527,36261,37289,37273,37686,37672,38210,38283,38233,38248,38429,38350,38465,38564,38574,38578,38667,39230,39255,39509,40026,40371,40785,41219,41722,42272,42911,43339,43834,44107,44348,44766,45103,45708,46319,46638,46619,46594,46096,46147,46124,46036,46013
"45025","Chesterfield, SC","5","CA1","3","...","Per capita personal income (dollars) 2/",2349,2719,2906,3182,3633,3823,4066,4279,4668,5346,6020,6497,7108,7504,8066,9113,9635,10419,10708,11590,12281,13171,13385,14585,15188,15951,16572,17236,17942,18584,19225,19867,20391,20594,21313,21817,21623,22628,23952,25023,24231,24931,25732,26978,27939,28529,29949,30783
"45027","Clarendon, SC","5","CA1","1","...","Personal income (thousands of dollars)",45677,52003,55166,61459,71037,88390,93856,101150,107664,124829,142053,146966,169188,181944,193460,219348,228925,231398,249790,268098,297486,317323,327487,364725,375877,416185,444353,482003,516387,534044,557595,597161,635349,625379,652434,704953,708305,731316,761625,798007,796139,806204,835066,877466,900113,906967,940177,952764
"45027","Clarendon, SC","5","CA1","2","...","Population (persons) 1/",25795,25653,25944,26276,26049,25947,26399,27325,27113,27543,28042,27533,27719,27834,27661,27542,27625,27598,27715,28158,28437,28511,28880,29051,29407,29822,30238,31291,31756,31907,32247,32528,32887,33094,33305,33622,33847,34094,34250,34875,34942,34944,34657,34265,34180,34082,33803,33951
"45027","Clarendon, SC","5","CA1","3","...","Per capita personal income (dollars) 2/",1771,2027,2126,2339,2727,3407,3555,3702,3971,4532,5066,5338,6104,6537,6994,7964,8287,8385,9013,9521,10461,11130,11340,12555,12782,13956,14695,15404,16261,16738,17291,18358,19319,18897,19590,20967,20927,21450,22237,22882,22785,23071,24095,25608,26334,26611,27813,28063
"45029","Colleton, SC","5","CA1","1","...","Personal income (thousands of dollars)",64352,69141,74805,85089,96922,108172,117533,130358,144540,163371,186368,202943,226060,236720,258796,290014,308910,324481,345975,378733,407927,443402,461806,494715,512211,536820,571883,600946,641838,670610,710257,749728,801197,811338,824168,872098,887938,949406,1006520,1076001,1056352,1076498,1109035,1124286,1144009,1191394,1255698,1303126
